model,Number of GPUs,batch_size,global_batch_size,learning_rate,epoch_train_time,msec_per_img,val_accuracy
AlexNet,1,108,108,0.005,1415.895951,76.27679133,33.13
AlexNet,1,108,108,0.005,1578.788185,68.40689652,41.64
AlexNet,1,108,108,0.005,1636.838739,65.98084309,44.4
AlexNet,1,108,108,0.005,1322.431674,81.66773537,45.47
AlexNet,1,108,108,0.005,2151.837026,50.18967454,47.27
AlexNet,2,54,108,0.005,7980.51535,13.53296063,20.59
AlexNet,2,54,108,0.005,5288.321213,20.42236007,21.83
AlexNet,2,54,108,0.005,4138.713325,26.09506664,22.83
AlexNet,2,54,108,0.005,3417.514083,31.60191805,23.23
AlexNet,2,54,108,0.005,3150.670877,34.27841378,24.11
AlexNet,3,36,108,0.005,8076.019102,13.37292528,13.77
AlexNet,3,36,108,0.005,5495.003003,19.65422038,14.23
AlexNet,3,36,108,0.005,4417.156468,24.45011871,15.1
AlexNet,3,36,108,0.005,3647.733024,29.60742995,15.26
AlexNet,3,36,108,0.005,3345.576501,32.28143191,16.35
AlexNet,4,27,108,0.005,0,0,0
AlexNet,4,27,108,0.005,0,0,0
AlexNet,4,27,108,0.005,0,0,0
AlexNet,4,27,108,0.005,0,0,0
AlexNet,4,27,108,0.005,0,0,0
ResNet18,1,108,108,0.005,1207.026976,89.47604498,43.75585876
ResNet18,1,108,108,0.005,1159.610239,93.13474163,45.59941673
ResNet18,1,108,108,0.005,1154.767176,93.52534627,50.08853244
ResNet18,1,108,108,0.005,1167.100739,92.53699907,53.17154463
ResNet18,1,108,108,0.005,1166.9024,92.55272763,53.22362254
ResNet18,2,54,108,0.005,7980.510017,13.53296967,22.82053953
ResNet18,2,54,108,0.005,5288.205814,20.42280573,24.8307468
ResNet18,2,54,108,0.005,4138.716455,26.0950469,25.90355171
ResNet18,2,54,108,0.005,3417.481138,31.6022227,26.05978544
ResNet18,2,54,108,0.005,3150.057071,34.28509312,23.96625352
ResNet18,3,36,108,0.005,0,0,0
ResNet18,3,36,108,0.005,0,0,0
ResNet18,3,36,108,0.005,0,0,0
ResNet18,3,36,108,0.005,0,0,0
ResNet18,3,36,108,0.005,0,0,0
ResNet18,4,27,108,0.005,1310.912182,82.38538133,10.83220498
ResNet18,4,27,108,0.005,1296.414257,83.30670495,11.96750339
ResNet18,4,27,108,0.005,1298.945372,83.14437414,12.43620456
ResNet18,4,27,108,0.005,1298.442333,83.17658571,13.17571086
ResNet18,4,27,108,0.005,1298.114604,83.19758492,13.00906156
ResNet152,1,108,108,0.005,1678.200868,64.35463243,38.49599
ResNet152,1,108,108,0.005,1990.411635,54.26013298,42.24559942
ResNet152,1,108,108,0.005,1769.619535,61.03006769,45.15154671
ResNet152,1,108,108,0.005,1849.295946,58.40060388,47.68253307
ResNet152,1,108,108,0.005,2393.657598,45.11923514,49.14071451
ResNet152,2,54,108,0.005,2041.054632,52.91382127,19.27924175
ResNet152,2,54,108,0.005,2021.72097,53.41983469,21.17487762
ResNet152,2,54,108,0.005,2015.050358,53.59667542,22.32059161
ResNet152,2,54,108,0.005,2027.092958,53.27826707,23.17466931
ResNet152,2,54,108,0.005,2147.392743,50.293548,23.24757838
ResNet152,3,36,108,0.005,2825.237185,38.22687899,13.01947714
ResNet152,3,36,108,0.005,2851.574688,37.87381072,13.75898344
ResNet152,3,36,108,0.005,2834.050865,38.10799634,14.39433392
ResNet152,3,36,108,0.005,2969.002081,36.37585864,14.75887928
ResNet152,3,36,108,0.005,2996.099728,36.04686419,15.61295698
ResNet152,4,27,108,0.005,9848.008076,10.96668475,9.603166337
ResNet152,4,27,108,0.005,6497.869795,16.62083166,10.28017915
ResNet152,4,27,108,0.005,5417.537698,19.93525583,10.8217894
ResNet152,4,27,108,0.005,4382.518475,24.64336445,11.01968545
ResNet152,4,27,108,0.005,4383.256859,24.63921314,11.63420477
